New line,Div Class,Image Path,Img Class,Title,Available?,Dimensions,Media,Price
TRUE,col-sm-6,img/Emergence.jpg,portrait,Emergence,FALSE,,,
FALSE,col-sm-6,img/Light_through_the_Crack_ll.jpg,portrait,Light through the Crack II,FALSE,,,
TRUE,col-sm-4,img/Red_Sky_at_Night.jpg,landscape,Red Sky at Night,FALSE,,,
FALSE,col-sm-4,img/Strata_ll.jpg,landscape,Strata II,FALSE,,,
FALSE,col-sm-4,img/A_Break_in_the_Storm.jpg,landscape,A Break in the Storm,FALSE,,,
TRUE,col-sm-3,img/Strata.jpg,portrait,Strata,FALSE,,,
FALSE,col-sm-3,img/High_Falls.jpg,portrait,High Falls,FALSE,,,
FALSE,col-sm-3,img/Trepidation.jpg,portrait,Trepidation,FALSE,,,
FALSE,col-sm-3,img/Light_Through_the_Trees.jpg,portrait,Light Through the Trees,FALSE,,,
TRUE,col-sm-3,img/Wind_in_the_Canyon.jpg,landscape,Wind in the Canyon,FALSE,,,
FALSE,col-sm-3,img/Shipwrecked.jpg,landscape,Shipwrecked,FALSE,,,
FALSE,col-sm-3,img/Airport_Reflections.jpg,landscape,Airport Reflections,FALSE,,,
FALSE,col-sm-3,img/Before_the_Storm.jpg,landscape,Before the Storm,FALSE,,,
TRUE,col-sm-3,img/Shattered.jpg,portrait,Shattered,FALSE,,,
FALSE,col-sm-3,img/The_Urban_Landscape.jpg,portrait,The Urban Landscape,FALSE,,,
FALSE,col-sm-3,img/Held_by_the_Sun.jpg,portrait,Held by the Sun,FALSE,,,
FALSE,col-sm-3,img/Window_Through_Distorted_Glass.jpg,portrait,Window Through Distorted Glass,FALSE,,,
