New line,Div Class,Image Path,Img Class,Title,Available?,Dimensions,Media,Price
TRUE,col-sm-4,img/Sunset_Ski.jpg,landscape,Sunset Ski,TRUE,"24"" x 30""",Oil on gallery canvas,$875
FALSE,col-sm-4,img/Dining_Out.jpg,landscape,Dining Out,TRUE,"27"" x 40""","Oil on gallery canvas, framed","$1250"
FALSE,col-sm-4,img/Colourful_Reflections_I.jpg,landscape,Colourful Reflections I,TRUE,"30"" x 40""",Oil on gallery canvas,"$1350"
TRUE,col-sm-3,img/Colourful_Reflections_II.jpg,portrait,Colourful Reflections II,TRUE,"18"" x 36""",Oil on gallery canvas,$700
FALSE,col-sm-3,img/Coastal_Colours.jpg,portrait,Coastal Colours,TRUE,"36"" x 36""",Oil on gallery canvas,"$1100"
FALSE,col-sm-3,img/Coffee_Time.jpg,portrait,Coffee Time,TRUE,"33"" x 33""","Oil on canvas, framed","$1050"
FALSE,col-sm-3,img/Glacial_Walk.jpg,portrait,Glacial Walk,TRUE,"38"" x 50""","Oil on gallery canvas, framed","$2100"
TRUE,col-sm-4,img/Night_Out.jpg,portrait,Night Out,TRUE,"33"" x 33""",Oil on canvas,"$1050"
FALSE,col-sm-4,img/Shoreline_Walk.jpg,portrait,Shoreline Walk,TRUE,"33"" x 33""",Oil on gallery canvas,$990
FALSE,col-sm-4,img/The_Skier.jpg,portrait,The Skier,TRUE,"12"" x 12""",Oil on gallery canvas,$250
