New line,Div Class,Image Path,Img Class,Title,Available?,Dimensions,Media,Price
TRUE,col-sm-3,img/Red_Bouquet_II.jpg,landscape,Red Bouquet II,TRUE,"18"" x 22""","Watercolour, framed",550
FALSE,col-sm-3,img/Thinking_of_Spring.jpg,landscape,Thinking of Spring,FALSE,"16"" x 20""","Watercolour, framed",400
FALSE,col-sm-3,img/Bouquet_Blanc.jpg,landscape,Bouquet Blanc,FALSE,"16"" x 20""","Watercolour, framed",400
FALSE,col-sm-3,img/Thinking_of_You.jpg,landscape,Thinking of You,FALSE,,"Watercolour, framed",375
TRUE,col-sm-4,img/Bouquet__2.jpg,portrait,Bouquet,FALSE,"9"" x 12""","Aquarelle, framed",125
FALSE,col-sm-4,img/Simply_Red.jpg,portrait,Simply Red,FALSE,"10"" x 12""","Watercolour, framed",125
FALSE,col-sm-4,img/Tulip Bouquet__2.jpg,portrait,Tulip Bouquet,FALSE,"8"" x 10""","Watercolour, framed",95
TRUE,col-sm-4,img/Bouquet_Bleu.jpg,portrait,Bouquet Bleu,FALSE,"16"" x 20""","Watercolour, framed",400
FALSE,col-sm-4,img/Red_Bouquet.jpg,portrait,Red Bouquet,FALSE,"16"" x 20""","Watercolour, framed",400
FALSE,col-sm-4,img/Draped_in_Blue_II.jpg,portrait,Draped in Blue II,FALSE,"19"" x 29""","Watercolour on paper, framed",650
TRUE,col-sm-3,img/Bouquet_in_Blue.jpg,portrait,Bouquet in Blue,FALSE,,,
FALSE,col-sm-3,img/Draped_in_Blue.jpg,portrait,Draped in Blue,FALSE,,,
FALSE,col-sm-3,img/Just_for_You.jpg,portrait,Just for You,FALSE,,,
FALSE,col-sm-3,img/Bouquet_with_Tulips.jpg,portrait,Bouquet with Tulips,FALSE,,,
TRUE,col-sm-3,img/Bouquet_II.jpg,portrait,Bouquet II,FALSE,,,
FALSE,col-sm-3,img/Joyful_Distraction.jpg,portrait,Joyful Distraction,FALSE,,,
FALSE,col-sm-3,img/Still_Life_with_Flowers.jpg,portrait,Still Life with Flowers,FALSE,,,
FALSE,col-sm-3,img/Lilacs.jpg,portrait,Lilacs,FALSE,,,
TRUE,col-sm-3,img/Alstroemeria.jpg,portrait,Alstroemeria,FALSE,,,
FALSE,col-sm-3,img/Coquelicots.jpg,portrait,Coquelicots,FALSE,,,
FALSE,col-sm-3,img/Tulip.jpg,portrait,Tulip,FALSE,,,
FALSE,col-sm-3,img/Tulip_Bouquet.jpg,portrait,Tulip Bouquet,FALSE,,,
TRUE,col-sm-3,img/Red_Tulips.jpg,portrait,Red Tulips,FALSE,,,
FALSE,col-sm-3,img/In_Bloom.jpg,portrait,In Bloom,FALSE,,,
FALSE,col-sm-3,img/Bouquet.jpg,portrait,Bouquet,FALSE,,,
FALSE,col-sm-3,img/Summer_Bouquet.jpg,portrait,Summer Bouquet,FALSE,,,
TRUE,col-sm-3,img/Tulips-watercolour.jpg,landscape,Tulips,FALSE,,,
FALSE,col-sm-3,img/Trilliums_bckgrnd.jpg,landscape,Trilliums,FALSE,,,
FALSE,col-sm-3,img/Ready_to_Eat.jpg,landscape,Ready to Eat,FALSE,,,
FALSE,col-sm-3,img/Wild_Flowers.jpg,landscape,Wild Flowers,FALSE,,,
TRUE,col-sm-3,img/Magnolias.jpg,portrait,Magnolias,FALSE,,,
FALSE,col-sm-3,img/Just_Tulips.jpg,portrait,Just Tulips,FALSE,,,
FALSE,col-sm-3,img/Hydrangeas-_and_Thyme.jpg,portrait,Hydrangeas & Thyme,FALSE,,,
FALSE,col-sm-3,img/Tulips_Bottles_and_Tangerines.jpg,portrait,Tulips & Tangerines,FALSE,,,
