New line,Div Class,Image Path,Img Class,Title,Available?,Dimensions,Media,Price,Price_str
TRUE,col-sm-3,img/A_Beautiful_Day.jpg,landscape,A Beautiful Day,TRUE,"30"" x 30""",Oil on gallery canvas,975,
FALSE,col-sm-3,img/Windswept_II.jpg,landscape,Windswept II,TRUE,"30"" x 40""",Oil on gallery canvas,1300,
FALSE,col-sm-3,img/Seaside_House_I_II_III.jpg,landscape,"Seaside House I, II, and III",FALSE,"8"" x 8"" each",Oil on gallery canvas,400,150 each or 3 for $400
FALSE,col-sm-3,img/Through_the_Forest.jpg,landscape,Through the Forest,FALSE,"14"" x 18""",Oil on gallery canvas,500,
TRUE,col-sm-3,img/A_Blustery_Hike.jpg,portrait,A Blustery Hike,TRUE,"36"" x 48""",Oil on gallery canvas,2100,
FALSE,col-sm-3,img/Connected.jpg,portrait,Connected,FALSE,"38"" x 38""","Oil on gallery canvas, framed",1500,
FALSE,col-sm-3,img/Colourful_Reflections_II.jpg,portrait,Colourful Reflections II,FALSE,"18"" x 36""",Oil on gallery canvas,700,
FALSE,col-sm-3,img/Coastal_Colours.jpg,portrait,Coastal Colours,FALSE,"36"" x 36""",Oil on gallery canvas,1100,
TRUE,col-sm-3,img/Sunset_Ski.jpg,landscape,Sunset Ski,FALSE,"24"" x 30""",Oil on gallery canvas,875,
FALSE,col-sm-3,img/Colourful_Reflections_I.jpg,landscape,Colourful Reflections I,FALSE,"30"" x 40""",Oil on gallery canvas,1350,
FALSE,col-sm-3,img/Colourful_Reflections_III.jpg,landscape,Colourful Reflections III,FALSE,"16"" x 20""","Oil on gallery canvas, framed",600,
FALSE,col-sm-3,img/The_Skier.jpg,landscape,The Skier,FALSE,"12"" x 12""",Oil on gallery canvas,250,
TRUE,col-sm-3,img/Glacial_Walk.jpg,portrait,Glacial Walk,FALSE,"38"" x 50""","Oil on gallery canvas, framed",2100,
FALSE,col-sm-3,img/Windswept_III.jpg,portrait,Windswept III,FALSE,,,,
FALSE,col-sm-3,img/Rocky_Shore.jpg,portrait,Rocky Shore,FALSE,"30"" x 36""",Oil on gallery canvas,1200,
FALSE,col-sm-3,img/Shoreline_Walk.jpg,portrait,Shoreline Walk,FALSE,"33"" x 33""",Oil on gallery canvas,990,
TRUE,col-sm-3,img/Belvedere_Gatineau_I.jpg,landscape,Belv&eacute;d&egrave;re..... Gatineau I,FALSE,,,,
FALSE,col-sm-3,img/Belvedere_Gatineau_II.jpg,landscape,Belv&eacute;d&egrave;re..... Gatineau II,FALSE,,,,
FALSE,col-sm-3,img/Belvedere_Gatineau_III.jpg,landscape,Belv&eacute;d&egrave;re..... Gatineau III,FALSE,,,,
