New line,Div Class,Image Path,Img Class,Title,Available?,Dimensions,Media,Price
TRUE,col-sm-4,img/Windswept.jpg,landscape,Windswept,TRUE,"20"" x 24""","Watercolour, framed",550
FALSE,col-sm-4,img/Coastal_View.jpg,landscape,Coastal View,FALSE,,,
FALSE,col-sm-4,img/Coastal_Storm_II.jpg,landscape,Coastal Storm II,FALSE,,,
TRUE,col-sm-4,img/Rocky_Terrain.jpg,portrait,Rocky Terrain,FALSE,"20"" x 24""",Watercolour / Watercolour collage,550
FALSE,col-sm-4,img/Autumn_Sundown.jpg,portrait,Autumn Sundown,FALSE,"18"" x 22""","Watercolour, framed",550
FALSE,col-sm-4,img/Piece_of_Paradise.jpg,portrait,Piece of Paradise,FALSE,,,
TRUE,col-sm-3,img/Spring_Thaw.jpg,landscape,Spring Thaw,FALSE,,,
FALSE,col-sm-3,img/Storm_Approaching.jpg,landscape,Storm Approaching,FALSE,,,
FALSE,col-sm-3,img/A_Break_in_the_Storm_Landscape.jpg,landscape,A Break in the Storm,FALSE,,,
FALSE,col-sm-3,img/Tom-Thompson-Sunset-5x7-Card.jpg,landscape,Tom Thompson Sunset,FALSE,,,
TRUE,col-sm-3,img/After_the_Storm.jpg,portrait,After the Storm,FALSE,,,
FALSE,col-sm-3,img/After_the_Storm_2.jpg,portrait,After the Storm,FALSE,,,
FALSE,col-sm-3,img/Storm_Leaving_Mer-Bleue.jpg,portrait,"Storm Leaving, Mer Bleue",FALSE,,,
FALSE,col-sm-3,img/Mountain_Reflections_2.jpg,portrait,Mountain Reflections,FALSE,,,
TRUE,col-sm-3,img/Storm_Leaving_comma_Charlevoix.jpg,landscape,"Storm Leaving, Charlevoix",FALSE,,,
FALSE,col-sm-3,img/Meech-Lake-5x7-Card.jpg,landscape,Meech Lake,FALSE,,,
FALSE,col-sm-3,img/Mountain_Reflections.jpg,landscape,Mountain Reflections,FALSE,,,
FALSE,col-sm-3,img/40_Below_at_Shilly_Shally.jpg,landscape,40 Below At Shilly Shally,FALSE,,,
